Date,000001.SS,1592.T,399001.SZ,^BSESN,^IXIC,^N100,^NSEI,^NYA
2024-02-22,2988.35791015625,2208.0,9043.75,73158.2421875,16041.6201171875,1462.9200439453125,22217.44921875,17565.0703125
2024-02-23,3004.881103515625,,9069.419921875,73142.796875,15996.8203125,1467.1199951171875,22212.69921875,17616.01953125
2024-02-26,2977.02197265625,2217.0,9066.08984375,72790.1328125,15976.25,1460.280029296875,22122.05078125,17566.609375
2024-02-27,3015.48095703125,2222.0,9269.5703125,73095.21875,16035.2998046875,1464.9100341796875,22198.349609375,17598.3203125
2024-02-28,2957.85205078125,2220.0,9047.099609375,72304.8828125,15947.740234375,1462.6700439453125,21951.150390625,17573.689453125
2024-02-29,3015.1708984375,2223.0,9330.4404296875,72500.296875,16091.919921875,1459.199951171875,21982.80078125,17607.4296875
2024-03-01,3027.02001953125,2250.0,9434.75,73745.3515625,16274.9404296875,1467.75,22338.75,17728.26953125
2024-03-04,3039.305908203125,2253.0,9438.240234375,73872.2890625,16207.509765625,1471.1500244140625,22405.599609375,17748.69921875
2024-03-05,3047.79296875,2259.0,9416.7998046875,73677.1328125,15939.58984375,1469.719970703125,22356.30078125,17669.490234375
2024-03-06,3039.930908203125,2267.0,9395.650390625,74085.9921875,16031.5400390625,1478.0699462890625,22474.05078125,17801.0390625
2024-03-07,3027.40087890625,2264.0,9267.1201171875,74119.390625,16273.3798828125,1490.949951171875,22493.55078125,17927.619140625
2024-03-08,3046.01904296875,2265.0,9369.0498046875,,16085.1103515625,1487.469970703125,,17889.619140625
2024-03-11,3068.455078125,2200.0,9581.5302734375,73502.640625,16019.26953125,1479.0799560546875,22332.650390625,17863.689453125
2024-03-12,3055.93505859375,2201.0,9630.5498046875,73667.9609375,16265.6396484375,1491.5400390625,22335.69921875,17974.060546875
2024-03-13,3043.8349609375,2199.0,9604.990234375,72761.890625,16177.76953125,1495.6600341796875,21997.69921875,18018.630859375
2024-03-14,3038.23388671875,2210.0,9555.419921875,73097.28125,16128.5302734375,1494.2900390625,22146.650390625,17886.26953125
2024-03-15,3054.635986328125,2208.0,9612.75,72643.4296875,15973.169921875,1492.530029296875,22023.349609375,17848.080078125
2024-03-18,3084.926025390625,2238.0,9752.830078125,72748.421875,16103.4501953125,1494.489990234375,22055.69921875,17882.310546875
2024-03-19,3062.756103515625,2281.0,9696.6904296875,72012.046875,16166.7900390625,1503.4200439453125,21817.44921875,17975.7890625
2024-03-20,3079.68603515625,,9717.3701171875,72101.6875,16369.41015625,1501.7099609375,21839.099609375,18130.080078125
2024-03-21,3077.113037109375,2320.0,9682.509765625,72641.1875,16401.83984375,1516.3499755859375,22011.94921875,18214.119140625
2024-03-22,3048.033935546875,2336.0,9565.5595703125,72831.9375,16428.8203125,1515.0999755859375,22096.75,18112.0390625
2024-03-25,3026.305908203125,2304.0,9422.6103515625,,16384.470703125,1518.72998046875,,18077.150390625
2024-03-26,3031.48095703125,2309.0,9449.4296875,72470.296875,16315.7001953125,1523.2900390625,22004.69921875,18059.189453125
2024-03-27,2993.138916015625,2324.0,9222.4697265625,72996.3125,16399.51953125,1524.8800048828125,22123.650390625,18255.240234375
2024-03-28,3010.6640625,2302.0,9342.919921875,73651.3515625,16379.4599609375,1526.3399658203125,22326.900390625,18312.669921875
2024-03-29,3041.1669921875,2315.0,9400.849609375,,,,,
2024-04-01,3077.37890625,2285.0,9647.0703125,74014.546875,16396.830078125,,22462.0,18216.189453125
2024-04-02,3074.958984375,2277.0,9586.9501953125,73903.90625,16240.4501953125,1521.0,22453.30078125,18107.529296875
2024-04-03,3069.2958984375,2269.0,9544.76953125,73876.8203125,16277.4599609375,1531.4599609375,22434.650390625,18146.640625
2024-04-04,,2292.0,,74227.6328125,16049.080078125,1529.9000244140625,22514.650390625,17982.490234375
2024-04-05,,2268.0,,74248.21875,16248.51953125,1520.0999755859375,22513.69921875,18122.259765625
2024-04-08,3047.052978515625,2283.0,9394.6103515625,74742.5,16253.9599609375,1530.969970703125,22666.30078125,18154.369140625
2024-04-09,3048.537109375,2306.0,9448.98046875,74683.703125,16306.6396484375,1520.050048828125,22642.75,18171.19921875
2024-04-10,3027.3349609375,2293.0,9297.9599609375,75038.1484375,16170.3603515625,1524.449951171875,22753.80078125,17947.30078125
2024-04-11,3034.24609375,2301.0,9300.76953125,,16442.19921875,1518.0899658203125,,17915.19921875
2024-04-12,3019.47412109375,2307.0,9228.23046875,74244.8984375,16175.08984375,1521.4300537109375,22519.400390625,17639.0390625
2024-04-15,3057.3779296875,2304.0,9369.7001953125,73399.78125,15885.01953125,1521.469970703125,22272.5,17506.9296875
2024-04-16,3007.068115234375,2269.0,9155.0703125,72943.6796875,15865.25,1501.8699951171875,22147.900390625,17413.98046875
2024-04-17,3071.381103515625,2250.0,9381.76953125,,15683.3701171875,1494.7099609375,,17403.439453125
2024-04-18,3074.22509765625,2245.0,9376.8095703125,72488.9921875,15601.5,1500.800048828125,21995.849609375,17388.08984375
2024-04-19,3065.260986328125,2277.0,9279.4599609375,73088.328125,15282.009765625,1495.8800048828125,22147.0,17458.76953125
2024-04-22,3044.594970703125,2225.0,9239.1396484375,73648.6171875,15451.3095703125,1502.7099609375,22336.400390625,17602.189453125
2024-04-23,3021.97802734375,2225.0,9183.1396484375,73738.453125,15696.6396484375,1518.6199951171875,22368.0,17792.759765625
2024-04-24,3044.822021484375,2271.0,9251.1298828125,73852.9375,15712.75,1515.77001953125,22402.400390625,17758.080078125
2024-04-25,3052.89990234375,2236.0,9264.48046875,74339.4375,15611.759765625,1504.9300537109375,22570.349609375,17731.560546875
2024-04-26,3088.635986328125,2253.0,9463.91015625,73730.15625,15927.900390625,1519.4300537109375,22419.94921875,17763.26953125
2024-04-29,3113.04296875,,9673.759765625,74671.28125,15983.080078125,1518.5899658203125,22643.400390625,17831.0703125
2024-04-30,3104.824951171875,2300.0,9587.1201171875,74482.78125,15657.8203125,1503.6099853515625,22604.849609375,17603.33984375
2024-05-01,,2296.0,,,15605.48046875,,,17576.390625
2024-05-02,,2298.0,,74611.109375,15840.9599609375,1496.989990234375,22648.19921875,17699.05078125
2024-05-03,,,,73878.1484375,16156.330078125,1504.8599853515625,22475.849609375,17797.890625
2024-05-06,3140.719970703125,,9779.2099609375,73895.5390625,16349.25,1515.9300537109375,22442.69921875,17963.83984375
2024-05-07,3147.738037109375,2313.0,9770.9404296875,73511.8515625,16332.5595703125,1528.469970703125,22302.5,17994.26953125
2024-05-08,3128.47998046875,2278.0,9638.8203125,73466.390625,16302.759765625,1534.3800048828125,22302.5,17996.029296875
2024-05-09,3154.320068359375,2290.0,9788.0703125,72404.171875,16346.259765625,1541.3399658203125,21957.5,18127.2109375
2024-05-10,3154.547119140625,2293.0,9731.240234375,72664.46875,16340.8701171875,1552.6300048828125,22055.19921875,18162.05078125
2024-05-13,3148.02099609375,2294.0,9673.3203125,72776.1328125,16388.240234375,1551.25,22104.05078125,18133.94921875
2024-05-14,3145.77392578125,2299.0,9668.73046875,73104.609375,16511.1796875,1551.56005859375,22217.849609375,18220.810546875
2024-05-15,3119.902099609375,2302.0,9583.5400390625,72987.03125,16742.390625,1557.6400146484375,22200.55078125,18378.490234375
2024-05-16,3122.40087890625,2316.0,9604.1298828125,73663.71875,16698.3203125,1554.530029296875,22403.849609375,18317.380859375
2024-05-17,3154.02587890625,2318.0,9709.419921875,73917.03125,16685.970703125,1552.8299560546875,22466.099609375,18388.259765625
2024-05-20,3171.14501953125,2337.0,9750.8203125,,16794.869140625,1554.1199951171875,,18335.619140625
2024-05-21,3157.966064453125,2334.0,9681.66015625,73953.3125,16832.619140625,1547.760009765625,22529.05078125,18337.91015625
2024-05-22,3158.5400390625,2315.0,9693.0498046875,74221.0625,16801.5390625,1543.25,22597.80078125,18236.640625
2024-05-23,3116.386962890625,2331.0,9541.6396484375,75418.0390625,16736.029296875,1547.97998046875,22967.650390625,18028.470703125
2024-05-24,3088.87109375,2316.0,9424.580078125,75410.390625,16920.7890625,1547.4599609375,22957.099609375,18110.599609375
2024-05-27,3124.04296875,2338.0,9507.75,75390.5,,1553.8800048828125,22932.44921875,
2024-05-28,3109.572021484375,2341.0,9391.0498046875,75170.453125,17019.880859375,1545.5,22888.150390625,18007.009765625
2024-05-29,3111.01806640625,2320.0,9414.98046875,74502.8984375,16920.580078125,1527.510009765625,22704.69921875,17794.890625
2024-05-30,3091.677978515625,2297.0,9384.7197265625,73885.6015625,16737.080078125,1530.3199462890625,22488.650390625,17852.359375
2024-05-31,3086.81298828125,2350.0,9364.3798828125,73961.3125,16735.01953125,1530.6600341796875,22530.69921875,18083.689453125
2024-06-03,3078.489013671875,2368.0,9370.5,76468.78125,16828.669921875,1535.050048828125,23263.900390625,18006.9609375
2024-06-04,3091.198974609375,2359.0,9469.3203125,72079.046875,16857.05078125,1519.030029296875,21884.5,17934.490234375
2024-06-05,3065.403076171875,2326.0,9393.6103515625,74382.2421875,17187.900390625,1538.3299560546875,22620.349609375,18045.5
2024-06-06,3048.7939453125,2333.0,9340.009765625,75074.5078125,17173.119140625,1546.530029296875,22821.400390625,18066.5703125
2024-06-07,3051.279052734375,2325.0,9255.6796875,76693.359375,17133.130859375,1540.6099853515625,23290.150390625,17985.630859375
2024-06-10,,2351.0,,76490.078125,17192.529296875,1531.7900390625,23259.19921875,18037.529296875
2024-06-11,3028.044921875,2350.0,9262.349609375,76456.59375,17343.55078125,1514.2900390625,23264.849609375,17919.109375
2024-06-12,3037.468017578125,2334.0,9269.9404296875,76606.5703125,17608.439453125,1532.780029296875,23322.94921875,18005.94921875
2024-06-13,3028.9189453125,2321.0,9206.240234375,76810.8984375,17667.560546875,1504.47998046875,23398.900390625,17923.41015625
2024-06-14,3032.633056640625,2332.0,9252.25,76992.7734375,17688.880859375,1475.6600341796875,23465.599609375,17817.259765625
2024-06-17,3015.89111328125,2289.0,9281.25,,17857.01953125,1485.8599853515625,,17902.25
2024-06-18,3030.24609375,2306.0,9318.4697265625,77301.140625,17862.23046875,1500.52001953125,23557.900390625,17967.849609375
2024-06-19,3018.049072265625,2311.0,9219.0703125,77337.59375,,1492.4200439453125,23516.0,
2024-06-20,3005.43701171875,2315.0,9068.849609375,77478.9296875,17721.58984375,1511.68994140625,23567.0,18015.94921875
2024-06-21,2998.137939453125,2315.0,9064.83984375,77209.8984375,17689.359375,1498.030029296875,23501.099609375,17995.689453125
2024-06-24,2963.09912109375,2326.0,8924.169921875,77341.078125,17496.8203125,1508.989990234375,23537.849609375,18126.689453125
2024-06-25,2949.99609375,2360.0,8850.2900390625,78053.5234375,17717.650390625,1502.219970703125,23721.30078125,18051.0
2024-06-26,2972.52490234375,2366.0,8987.2998046875,78674.25,17805.16015625,1493.3699951171875,23868.80078125,17993.7890625
2024-06-27,2945.85205078125,2374.0,8849.7001953125,79243.1796875,17858.6796875,1488.280029296875,24044.5,18009.08984375
2024-06-28,2967.403076171875,2385.0,8848.7001953125,79032.7265625,17732.599609375,1484.2900390625,24010.599609375,18026.5
2024-07-01,2994.72998046875,2389.0,8899.169921875,79476.1875,17879.30078125,1496.8599853515625,24141.94921875,17957.05078125
2024-07-02,2997.010986328125,2424.0,8812.669921875,79441.453125,18028.759765625,1496.199951171875,24123.849609375,18028.169921875
2024-07-03,2982.3759765625,2441.0,8760.4296875,79986.796875,18188.30078125,1513.1099853515625,24286.5,18091.650390625
2024-07-04,2957.56689453125,2470.0,8673.830078125,80049.671875,,1522.8900146484375,24302.150390625,
2024-07-05,2949.93310546875,2426.0,8695.5498046875,79996.6015625,18352.759765625,1519.3599853515625,24323.849609375,18098.900390625
2024-07-08,2922.449951171875,2431.0,8561.9501953125,79960.3828125,18403.740234375,1516.0,24320.55078125,18087.869140625
2024-07-09,2959.3720703125,2448.0,8705.9404296875,80351.640625,18429.2890625,1500.800048828125,24433.19921875,18048.580078125
2024-07-10,2939.364013671875,2452.0,8697.2197265625,79924.7734375,18647.44921875,1514.1500244140625,24324.44921875,18215.1796875
2024-07-11,2970.386962890625,2475.0,8870.3603515625,79897.34375,18283.41015625,1517.1600341796875,24315.94921875,18379.740234375
2024-07-12,2971.294921875,2439.0,8854.080078125,80519.34375,18398.44921875,1531.5699462890625,24502.150390625,18505.919921875
2024-07-15,2974.010986328125,,8801.6201171875,80664.859375,18472.5703125,1517.9599609375,24586.69921875,18525.08984375
2024-07-16,2976.303955078125,2447.0,8877.01953125,80716.546875,18509.33984375,1511.0400390625,24613.0,18781.220703125
2024-07-17,2962.85498046875,2459.0,8835.1396484375,,17996.919921875,1493.3499755859375,,18712.48046875
2024-07-18,2977.133056640625,2425.0,8879.330078125,81343.4609375,17871.220703125,1492.8800048828125,24800.849609375,18513.740234375
2024-07-19,2982.30908203125,2417.0,8903.23046875,80604.6484375,17726.939453125,1481.5899658203125,24530.900390625,18406.05078125
2024-07-22,2964.216064453125,2381.0,8869.8203125,80502.078125,18007.5703125,1495.8499755859375,24509.25,18539.140625
2024-07-23,2915.368896484375,2388.0,8606.580078125,80429.0390625,17997.349609375,1494.5,24479.05078125,18518.33984375
2024-07-24,2901.951904296875,2358.0,8493.099609375,80148.8828125,17342.41015625,1482.3699951171875,24413.5,18308.419921875
2024-07-25,2886.741943359375,2272.0,8474.7001953125,80039.796875,17181.720703125,1459.7900390625,24406.099609375,18344.4609375
2024-07-26,2890.89697265625,2343.0,8597.169921875,81332.71875,17357.880859375,1474.97998046875,24834.849609375,18564.48046875
2024-07-29,2891.844970703125,2320.0,8514.650390625,81355.84375,17370.19921875,1465.6199951171875,24836.099609375,18539.369140625
2024-07-30,2879.300048828125,2320.0,8468.580078125,81455.3984375,17147.419921875,1473.4100341796875,24857.30078125,18580.580078125
2024-07-31,2938.7490234375,2355.0,8754.08984375,81741.34375,17599.400390625,1489.260009765625,24951.150390625,18710.009765625
2024-08-01,2932.386962890625,2297.0,8673.580078125,81867.546875,17194.150390625,1463.530029296875,25010.900390625,18493.23046875
2024-08-02,2905.337890625,2180.0,8553.5498046875,80981.953125,16776.16015625,1424.0799560546875,24717.69921875,18162.259765625
2024-08-05,2860.697998046875,2129.0,8395.0498046875,78759.3984375,16200.080078125,1398.6800537109375,24055.599609375,17725.1796875
2024-08-06,2867.283935546875,2090.0,8463.8603515625,78593.0703125,16366.849609375,1402.3199462890625,23992.55078125,17922.55078125
2024-08-07,2869.833984375,2180.0,8449.580078125,79468.0078125,16195.8095703125,1432.7099609375,24297.5,17838.810546875
2024-08-08,2869.90087890625,2068.0,8446.2099609375,78886.21875,16660.01953125,1430.5799560546875,24117.0,18186.119140625
2024-08-09,2862.194091796875,2093.0,8393.7001953125,79705.90625,16745.30078125,1433.760009765625,24367.5,18267.150390625
2024-08-12,2858.205078125,,8373.4697265625,79648.921875,16780.609375,1435.760009765625,24347.0,18206.390625
2024-08-13,2867.946044921875,2150.0,8409.2197265625,78956.03125,17187.609375,1440.0400390625,24139.0,18402.310546875
2024-08-14,2850.654052734375,2170.0,8311.0,79105.8828125,17192.599609375,1447.8699951171875,24143.75,18498.08984375
2024-08-15,2877.35791015625,2190.0,8370.1201171875,,17594.5,1465.3499755859375,,18706.51953125
2024-08-16,2879.429931640625,2258.0,8349.8701171875,80436.84375,17631.720703125,1472.300048828125,24541.150390625,18753.76953125
2024-08-19,2893.674072265625,2225.0,8356.900390625,80424.6796875,17876.76953125,1479.02001953125,24572.650390625,18882.0390625
2024-08-20,2866.660888671875,2254.0,8252.8701171875,80802.859375,17816.939453125,1471.3900146484375,24698.849609375,18802.240234375
2024-08-21,2856.583984375,2237.0,8229.75,80905.296875,17918.990234375,1479.219970703125,24770.19921875,18902.5
2024-08-22,2848.77197265625,2247.0,8162.18017578125,81053.1875,17619.349609375,1477.3199462890625,24811.5,18850.849609375
